model,index,period,dist,seed,n,exceptions,expected,var_mean,var_std,p_uc,p_cc,p_ind,p_dq,lopez,caporin_reg,caporin_firm
garch,wig20,2017,normal,,250,2,6.25,-0.01971052107275226,0.001932825811601243,0.045072132711615254,0.13426105094653784,1.0,0.7540426757545023,2.0000041127144073,-0.15078932010730517,262.89322865200273
garch,wig20,2017,skewt,,250,2,6.25,-0.02063235492533782,0.0020289027822608797,0.045072132711615254,0.13426105094653784,1.0,0.7566841865426212,2.0000008788419237,-0.051157610751289884,262.23514794893964
garch,wig20,2017,t,,250,2,6.25,-0.020297726969390927,0.001909658272637949,0.045072132711615254,0.13426105094653784,1.0,0.7569102000043557,2.000001489283963,-0.07599889417688166,262.48005127816583
garch,wig20,2020,normal,,250,16,6.25,-0.031006279461291034,0.013866729574682405,0.000923224074270923,0.0009033842924256463,0.08107663748540994,2.610010251258288e-07,16.011716557178254,-9.381058696412065,243.7415436192282
garch,wig20,2020,skewt,,250,15,6.25,-0.03275848188181218,0.014849005358792373,0.002581386991210577,0.0016901221092385788,0.054939644035668644,1.4879687770807948e-07,15.010455438640847,-8.114100378761306,244.03288578293385
garch,wig20,2020,t,,250,16,6.25,-0.032198765570384175,0.014511510253990544,0.000923224074270923,0.0009033842924256463,0.08107663748540994,3.3590332559896297e-07,16.01066970754576,-8.36097237971169,244.0600535565793
garchnet,spx,2009,normal,1.0,250,15,6.25,-0.03279290694897388,0.018873654468228043,0.002581386991210577,0.010602720192473325,0.91535343040215,6.154483495057761e-07,15.001955397329748,-4.961025667837655,255.91035951767714
garchnet,spx,2009,normal,2.0,250,18,6.25,-0.03117381547597926,0.020006088737303397,9.897340380438102e-05,0.0005115352655669092,1.0,1.0516276360839072e-07,18.00249026210561,-7.764372661717864,254.66850514367053
garchnet,spx,2009,normal,3.0,250,15,6.25,-0.03316669086446946,0.020745732676304734,0.002581386991210577,0.010662780462606491,1.0,0.00012452645843907817,15.001528722616,-4.451482869038647,256.65266997768686
garchnet,spx,2009,skewt,1.0,250,10,6.25,-0.03496198128360104,0.016046030222316692,0.16172062359665362,0.3756747547762167,1.0,0.06800701866569558,10.00137213703038,-3.9226772973027906,253.14522588931567
garchnet,spx,2009,skewt,2.0,250,13,6.25,-0.0339067765622485,0.01407961836135498,0.0166752220372699,0.0528620182078714,0.6986287145043619,0.010530196113424206,13.001245011829965,-4.224714975147973,252.59983874759118
garchnet,spx,2009,skewt,3.0,250,12,6.25,-0.033414998992166545,0.013925670801605294,0.038280278413802216,0.10143135860429286,0.5939477930565599,0.02779647814891817,12.001413538554692,-4.510961359835688,252.07873981112743
garchnet,spx,2009,t,1.0,250,14,6.25,-0.03505215593662591,0.0213282110388029,0.006779840352973854,0.025599200025635427,1.0,0.00014320448965632337,14.001584052953294,-4.383924032632841,255.46238171880736
garchnet,spx,2009,t,2.0,250,15,6.25,-0.035246529066418106,0.021138262778156027,0.002581386991210577,0.010662780462606491,1.0,0.00018614454378784728,15.001163799235316,-3.603810563838835,255.95865533852043
garchnet,spx,2009,t,3.0,250,16,6.25,-0.03561410856907738,0.02312136974003468,0.000923224074270923,0.0041370619453328095,1.0,5.623718645175746e-05,16.00090188222668,-3.169107215436135,256.00347992807895
garchnet,spx,2011,normal,1.0,250,7,6.25,-0.03060778038923227,0.013112105404903089,0.7655653444137516,0.3802048401618634,0.17434519693925066,0.21459113966365306,7.001383909639406,-2.1508597514495955,247.18151670285584
